@relation wine_descriptors
@attribute word string
@attribute pos {Adjective, Noun, Verb, Other}
@attribute wordLength Numeric
@attribute containsDigit {True, False}
@attribute prevWordPOS {Adjective, Noun, Verb, Other, Empty}
@attribute nextWordPOS {Adjective, Noun, Verb, Other, Empty}
@attribute isContextuallyDescriptive {True, False}
@attribute Suffix {berry, ic, y, ous, ness, -like, al, ish, False}
@attribute keyWord {True, False}
@attribute wordWeight Numeric
@data
"this",Other,4,False,Empty,Adjective,False,False,False,0
"tremendous",Adjective,10,False,Other,Other,False,ous,False,0
"100",Other,3,True,Adjective,Noun,False,False,False,0
"%",Noun,1,False,Other,Noun,False,False,False,0
"varietal",Noun,8,False,Noun,Noun,False,al,True,0.5
"wine",Noun,4,False,Noun,Verb,False,False,False,0
"hail",Verb,5,False,Noun,Other,False,False,False,0
"from",Other,4,False,Verb,Noun,False,False,False,0
"Oakville",Noun,8,False,Other,Other,False,False,True,1
"and",Other,3,False,Noun,Verb,False,False,False,0
"be",Verb,3,False,Other,Verb,False,False,False,0
"age",Verb,4,False,Verb,Other,False,False,False,0
"over",Other,4,False,Verb,Other,False,False,False,0
"three",Other,5,False,Other,Noun,False,False,False,0
"year",Noun,5,False,Other,Other,False,False,False,0
"in",Other,2,False,Noun,Noun,False,False,False,0
"oak",Noun,3,False,Other,Other,False,False,True,0.5
".",Other,1,False,Noun,Adjective,False,False,False,0
"juicy",Adjective,5,False,Other,Adjective,True,y,True,0.5
"red",Adjective,3,False,Adjective,Other,False,False,True,0.7
"-",Other,1,False,Adjective,Noun,False,False,False,0
"cherry",Noun,6,False,Other,Noun,False,y,True,0.8
"fruit",Noun,5,False,Noun,Other,False,False,True,0.8
"and",Other,3,False,Noun,Other,False,False,False,0
"a",Other,1,False,Other,Adjective,False,False,False,0
"compelling",Adjective,10,False,Other,Noun,False,False,False,0
"hint",Noun,4,False,Adjective,Other,True,False,True,0.5
"of",Other,2,False,Noun,Noun,False,False,False,0
"caramel",Noun,7,False,Other,Verb,False,False,True,0.7
"greet",Verb,5,False,Noun,Other,False,False,False,0
"the",Other,3,False,Verb,Noun,False,False,False,0
"palate",Noun,6,False,Other,Other,False,False,True,0.2
