@relation wine_descriptors
@attribute word string
@attribute pos {Adjective, Noun, Verb, Other}
@attribute wordLength Numeric
@attribute containsDigit {True, False}
@attribute prevWordPOS {Adjective, Noun, Verb, Other, Empty}
@attribute nextWordPOS {Adjective, Noun, Verb, Other, Empty}
@attribute isContextuallyDescriptive {True, False}
@attribute Suffix {berry, ic, y, ous, ness, -like, al, ish, False}
@attribute keyWord {True, False}
@data
"this",Other,4,False,Empty,Adjective,False,False,False
"tremendous",Adjective,10,False,Other,Other,False,ous,False
"100",Other,3,True,Adjective,Noun,False,False,False
"%",Noun,1,False,Other,Noun,False,False,False
"varietal",Noun,8,False,Noun,Noun,False,al,True
"wine",Noun,4,False,Noun,Verb,False,False,False
"hail",Verb,5,False,Noun,Other,False,False,False
"from",Other,4,False,Verb,Noun,False,False,False
"Oakville",Noun,8,False,Other,Other,False,False,True
"and",Other,3,False,Noun,Verb,False,False,False
"be",Verb,3,False,Other,Verb,False,False,False
"age",Verb,4,False,Verb,Other,False,False,False
"over",Other,4,False,Verb,Other,False,False,False
"three",Other,5,False,Other,Noun,False,False,False
"year",Noun,5,False,Other,Other,False,False,False
"in",Other,2,False,Noun,Noun,False,False,False
"oak",Noun,3,False,Other,Other,False,False,True
".",Other,1,False,Noun,Adjective,False,False,False
"juicy",Adjective,5,False,Other,Adjective,True,y,True
"red",Adjective,3,False,Adjective,Other,False,False,True
"-",Other,1,False,Adjective,Noun,False,False,False
"cherry",Noun,6,False,Other,Noun,False,y,True
"fruit",Noun,5,False,Noun,Other,False,False,True
"and",Other,3,False,Noun,Other,False,False,False
"a",Other,1,False,Other,Adjective,False,False,False
"compelling",Adjective,10,False,Other,Noun,False,False,False
"hint",Noun,4,False,Adjective,Other,True,False,True
"of",Other,2,False,Noun,Noun,False,False,False
"caramel",Noun,7,False,Other,Verb,False,False,True
"greet",Verb,5,False,Noun,Other,False,False,False
"the",Other,3,False,Verb,Noun,False,False,False
"palate",Noun,6,False,Other,Other,False,False,True
",",Other,1,False,Noun,Verb,False,False,False
"frame",Verb,6,False,Other,Other,False,False,False
"by",Other,2,False,Verb,Adjective,False,y,False
"elegant",Adjective,7,False,Other,Other,False,False,True
",",Other,1,False,Adjective,Adjective,False,False,False
"fine",Adjective,4,False,Other,Noun,False,False,True
"tannin",Noun,7,False,Adjective,Other,True,False,True
"and",Other,3,False,Noun,Other,False,False,False
"a",Other,1,False,Other,Adjective,False,False,False
"subtle",Adjective,6,False,Other,Adjective,True,False,True
"minty",Adjective,5,False,Adjective,Noun,False,y,True
"tone",Noun,4,False,Adjective,Other,True,False,True
"in",Other,2,False,Noun,Other,False,False,False
"the",Other,3,False,Other,Noun,False,False,False
"background",Noun,10,False,Other,Other,False,False,False
".",Other,1,False,Noun,Adjective,False,False,False
"balanced",Adjective,8,False,Other,Other,False,False,True
"and",Other,3,False,Adjective,Adjective,False,False,False
"rewarding",Adjective,9,False,Other,Other,False,False,True
"from",Other,4,False,Adjective,Noun,False,False,False
"start",Noun,5,False,Other,Other,False,False,False
"to",Other,2,False,Noun,Noun,False,False,False
"finish",Noun,6,False,Other,Other,False,ish,False
",",Other,1,False,Noun,Other,False,False,False
"it",Other,2,False,Other,Verb,False,False,False
"have",Verb,3,False,Other,Noun,False,False,False
"year",Noun,5,False,Verb,Other,False,False,False
"ahead",Other,5,False,Noun,Other,False,False,False
"of",Other,2,False,Other,Other,False,False,False
"it",Other,2,False,Other,Other,False,False,False
"to",Other,2,False,Other,Verb,False,False,False
"develop",Verb,7,False,Other,Adjective,False,False,False
"further",Adjective,7,False,Verb,Noun,False,False,False
"nuance",Noun,6,False,Adjective,Other,True,False,True
".",Other,1,False,Noun,Verb,False,False,False
"enjoy",Verb,5,False,Other,Other,False,y,False
"2022â",Other,5,True,Verb,Other,False,False,False
"€",Other,1,False,Other,Other,False,False,False
"“",Other,1,False,Other,Other,False,False,False
"2030",Other,4,True,Other,Other,False,False,False
".",Other,1,False,Other,Empty,False,False,False
"Mac",Noun,3,False,Other,Noun,False,False,True
"Watson",Noun,6,False,Noun,Verb,False,False,True
"honor",Verb,6,False,Noun,Other,False,False,False
"the",Other,3,False,Verb,Noun,False,False,False
"memory",Noun,6,False,Other,Other,False,y,False
"of",Other,2,False,Noun,Other,False,False,False
"a",Other,1,False,Other,Noun,False,False,False
"wine",Noun,4,False,Other,Other,False,False,True
"once",Other,4,False,Noun,Verb,False,False,False
"make",Verb,4,False,Other,Other,False,False,False
"by",Other,2,False,Verb,Other,False,y,False
"he",Other,3,False,Other,Noun,False,False,False
"mother",Noun,6,False,Other,Other,False,False,False
"in",Other,2,False,Noun,Other,False,False,False
